colnames(vtso);NL_name;cddddddddddddd__dd_Diiddci_____
> TIJD;tijd;
> X-COORD;longitude;
> Y-COORD;latitude;
>SENSHTE   Diepte set        m;diepteset;
>ECHOS     Echoset           mtrs;echoset;
>Echo      Echoschip         M;echoschip;
>Temp      Temperatuur       oC;temperatuur;
>pH        Zuurgraad         dimsls;zuurgraad;
>O2        Zuurstof          mg/l;zuurstof;
>%O2       Zuurstof verz.p.  %;zuurstofverzadiging;
>GELBH     Geleidendheid     ms/cm;geleidendheid;
>GELDHD    Geleidendh (20)   ms/cm;geleidendheid_20;
>SALNTT    Saliniteit        dimsls;saliniteit;
>CL-       Chloride          mg/l;chloriniteit;
>MEX       MEX               %;MEX;
>FLME      Flur ME           ugr/l;FlurME;
>CHFLYSI   Chlorofyl         ugr/l;chlorofyl;
>TURB      Turbiditeit       ???;turbiditeit;
>CHLOR     nog niet gedefinieerd;;
Datum;datum;
Jaar;jaar;
Maand;maand;
Waterstand (m NAP);waterstand;
Diepte meting (m NAP);dieptemeting;
Locatie;locatie;
Laag;laag;
NA;;
NA;;
NA;;
NA;;
NA;;
